header,header
ставам,stavam
влизам,vlizam
вземам,vzemam
правя,pravia
закусвам,zakusvam
излизам,izlizam
започвам,zapochvam
обядвам,objadvam
завършвам,zaviershvam
затварям,zatvarjam
срещам,sreshchtam
пазарувам,pazaruvam
връщам,vrieshchtam
вечерям,vecherjam
гледам,gledam
чета,cheta
пиша,pisha
лягам,ljagam
спя,spja
помня,pomnja
забравям,zabravjam
търся,tiersja
намирам,namiram
искам,iskam
отварям,otvarjam
виждам,vizhdam
слушам,slusham
чувам,chuvam
разбирам,razbiram
питам,pitam
обичам,obicham
харесвам,kharesvam
прегръщам,pregrieshcham
каня,kanja
купувам,kupuvam
живея,zhiveja
отивам,otivam
идвам,idvam
мисля,mislja
чакам,chakam
